기간,기초지자체,중분류,소비액(천원) (내국인),전년동기 소비액 (내국인),소비액(천원) (외국인)
24.10~25.09,양평군,관광총소비,392109322.0,388289282.0,
24.10~25.09,여주시,관광총소비,1077172276.0,1113277910.0,
24.10~25.09,연천군,관광총소비,93122340.0,93909224.0,
24.10~25.09,오산시,관광총소비,520454675.0,536769770.0,
24.10~25.09,용인시 기흥구,관광총소비,1491942920.0,1527492787.0,
24.10~25.09,용인시 수지구,관광총소비,944782738.0,979105083.0,
24.10~25.09,용인시 처인구,관광총소비,1167136482.0,1177553638.0,
24.10~25.09,의왕시,관광총소비,580646962.0,600971811.0,
24.10~25.09,의정부시,관광총소비,944421042.0,993704064.0,
24.10~25.09,이천시,관광총소비,926952790.0,947855792.0,
24.10~25.09,파주시,관광총소비,1306019429.0,1335451461.0,
24.10~25.09,평택시,관광총소비,1224640622.0,1276410702.0,
24.10~25.09,포천시,관광총소비,692485081.0,719648042.0,
24.10~25.09,하남시,관광총소비,1479727327.0,1514869887.0,
24.10~25.09,화성시,관광총소비,2015580687.0,2084548636.0,
